No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,7066,6711,,184,669,1547,3391,5031,6135,6486,225
2,Biology,,Male,Percentage,,,44.2,2.7%,10.0%,23.1%,50.5%,75.0%,91.4%,96.6%,3.4%
3,Biology,,Female,Number,8541,8154,,112,501,1339,3472,5857,7489,7937,217
4,Biology,,Female,Percentage,,,40.3,1.4%,6.1%,16.4%,42.6%,71.8%,91.8%,97.3%,2.7%
5,Biology,,Total,Number,15607,14865,,296,1170,2886,6863,10888,13624,14423,442
6,Biology,,Total,Percentage,,,42.1,2.0%,7.9%,19.4%,46.2%,73.2%,91.7%,97.0%,3.0%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,3575,3326,,60,204,501,1387,2318,2984,3219,107
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,44.3,1.8%,6.1%,15.1%,41.7%,69.7%,89.7%,96.8%,3.2%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3724,3535,,47,197,489,1511,2506,3236,3458,77
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,35.5,1.3%,5.6%,13.8%,42.7%,70.9%,91.5%,97.8%,2.2%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,7299,6861,,107,401,990,2898,4824,6220,6677,184
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,39.8,1.6%,5.8%,14.4%,42.2%,70.3%,90.7%,97.3%,2.7%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1488,1404,,8,43,77,368,812,1232,1319,85
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,74.2,0.6%,3.1%,5.5%,26.2%,57.8%,87.7%,93.9%,6.1%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1611,1537,,16,52,141,489,1016,1405,1487,50
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,75.2,1.0%,3.4%,9.2%,31.8%,66.1%,91.4%,96.7%,3.3%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,3099,2941,,24,95,218,857,1828,2637,2806,135
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,74.7,0.8%,3.2%,7.4%,29.1%,62.2%,89.7%,95.4%,4.6%
19,Chemistry,,Male,Number,8547,7994,,283,994,2238,4326,6269,7051,7649,345
20,Chemistry,,Male,Percentage,,,34.1,3.5%,12.4%,28.0%,54.1%,78.4%,88.2%,95.7%,4.3%
21,Chemistry,,Female,Number,6841,6408,,108,458,1310,2988,4746,5523,6095,313
22,Chemistry,,Female,Percentage,,,28.3,1.7%,7.1%,20.4%,46.6%,74.1%,86.2%,95.1%,4.9%
23,Chemistry,,Total,Number,15388,14402,,391,1452,3548,7314,11015,12574,13744,658
24,Chemistry,,Total,Percentage,,,31.5,2.7%,10.1%,24.6%,50.8%,76.5%,87.3%,95.4%,4.6%
25,Chinese History,,Male,Number,2878,2642,,46,131,350,930,1681,2330,2514,128
26,Chinese History,,Male,Percentage,,,-,1.7%,5.0%,13.2%,35.2%,63.6%,88.2%,95.2%,4.8%
27,Chinese History,,Female,Number,3913,3701,,42,205,519,1453,2571,3386,3587,114
28,Chinese History,,Female,Percentage,,,-,1.1%,5.5%,14.0%,39.3%,69.5%,91.5%,96.9%,3.1%
29,Chinese History,,Total,Number,6791,6343,,88,336,869,2383,4252,5716,6101,242
30,Chinese History,,Total,Percentage,,,-,1.4%,5.3%,13.7%,37.6%,67.0%,90.1%,96.2%,3.8%
31,Chinese Language,,Male,Number,25194,24585,,193,700,1812,6249,13761,20913,23509,1076
32,Chinese Language,,Male,Percentage,,,-,0.8%,2.8%,7.4%,25.4%,56.0%,85.1%,95.6%,4.4%
33,Chinese Language,,Female,Number,23616,23121,,432,1589,3604,9769,16789,21508,22722,399
34,Chinese Language,,Female,Percentage,,,-,1.9%,6.9%,15.6%,42.3%,72.6%,93.0%,98.3%,1.7%
35,Chinese Language,,Total,Number,48810,47706,,625,2289,5416,16018,30550,42421,46231,1475
36,Chinese Language,,Total,Percentage,,,-,1.3%,4.8%,11.4%,33.6%,64.0%,88.9%,96.9%,3.1%
37,Chinese Literature,,Male,Number,361,321,,3,15,36,89,187,263,298,23
38,Chinese Literature,,Male,Percentage,,,-,0.9%,4.7%,11.2%,27.7%,58.3%,81.9%,92.8%,7.2%
39,Chinese Literature,,Female,Number,1129,1075,,22,75,180,434,780,981,1047,28
40,Chinese Literature,,Female,Percentage,,,-,2.0%,7.0%,16.7%,40.4%,72.6%,91.3%,97.4%,2.6%
41,Chinese Literature,,Total,Number,1490,1396,,25,90,216,523,967,1244,1345,51
42,Chinese Literature,,Total,Percentage,,,-,1.8%,6.4%,15.5%,37.5%,69.3%,89.1%,96.3%,3.7%
43,Design and Applied Technology,,Male,Number,373,347,,2,7,17,63,128,273,315,32
44,Design and Applied Technology,,Male,Percentage,,,89.3,0.6%,2.0%,4.9%,18.2%,36.9%,78.7%,90.8%,9.2%
45,Design and Applied Technology,,Female,Number,171,158,,1,4,9,29,58,127,148,10
46,Design and Applied Technology,,Female,Percentage,,,88.0,0.6%,2.5%,5.7%,18.4%,36.7%,80.4%,93.7%,6.3%
47,Design and Applied Technology,,Total,Number,544,505,,3,11,26,92,186,400,463,42
48,Design and Applied Technology,,Total,Percentage,,,88.9,0.6%,2.2%,5.1%,18.2%,36.8%,79.2%,91.7%,8.3%
49,Economics,,Male,Number,6720,6331,,157,546,1237,2880,4314,5398,5908,423
50,Economics,,Male,Percentage,,,49.2,2.5%,8.6%,19.5%,45.5%,68.1%,85.3%,93.3%,6.7%
51,Economics,,Female,Number,7146,6840,,83,348,983,2885,4663,5951,6501,339
52,Economics,,Female,Percentage,,,42.2,1.2%,5.1%,14.4%,42.2%,68.2%,87.0%,95.0%,5.0%
53,Economics,,Total,Number,13866,13171,,240,894,2220,5765,8977,11349,12409,762
54,Economics,,Total,Percentage,,,45.5,1.8%,6.8%,16.9%,43.8%,68.2%,86.2%,94.2%,5.8%
55,English Language,,Male,Number,26292,25575,,208,852,2199,6375,13084,19635,22909,2666
56,English Language,,Male,Percentage,,,-,0.8%,3.3%,8.6%,24.9%,51.2%,76.8%,89.6%,10.4%
57,English Language,,Female,Number,24619,24066,,271,1028,2521,7057,13542,19601,22442,1624
58,English Language,,Female,Percentage,,,-,1.1%,4.3%,10.5%,29.3%,56.3%,81.4%,93.3%,6.7%
59,English Language,,Total,Number,50911,49641,,479,1880,4720,13432,26626,39236,45351,4290
60,English Language,,Total,Percentage,,,-,1.0%,3.8%,9.5%,27.1%,53.6%,79.0%,91.4%,8.6%
61,Ethics and Religious Studies,,Male,Number,367,336,,0,6,24,85,190,293,307,29
62,Ethics and Religious Studies,,Male,Percentage,,,94.0,0.0%,1.8%,7.1%,25.3%,56.5%,87.2%,91.4%,8.6%
63,Ethics and Religious Studies,,Female,Number,560,526,,10,29,61,196,395,501,514,12
64,Ethics and Religious Studies,,Female,Percentage,,,96.8,1.9%,5.5%,11.6%,37.3%,75.1%,95.2%,97.7%,2.3%
65,Ethics and Religious Studies,,Total,Number,927,862,,10,35,85,281,585,794,821,41
66,Ethics and Religious Studies,,Total,Percentage,,,95.7,1.2%,4.1%,9.9%,32.6%,67.9%,92.1%,95.2%,4.8%
67,Geography,,Male,Number,4051,3824,,54,172,423,1251,2329,3235,3647,177
68,Geography,,Male,Percentage,,,65.9,1.4%,4.5%,11.1%,32.7%,60.9%,84.6%,95.4%,4.6%
69,Geography,,Female,Number,4461,4287,,49,217,564,1627,2879,3827,4180,107
70,Geography,,Female,Percentage,,,56.9,1.1%,5.1%,13.2%,38.0%,67.2%,89.3%,97.5%,2.5%
71,Geography,,Total,Number,8512,8111,,103,389,987,2878,5208,7062,7827,284
